91431.00,721.00,1650.00,4.00,84451.00,5330.00,148.00,724.00,13.00,2398408.00,18980.00,126362134.00
87834.00,665.00,1337.00,12.00,41628.00,44869.00,301.00,759.00,12.00,1383649.00,11952.00,115770015.00
86392.00,658.00,921.00,5.00,78990.00,6481.00,0.00,9144.00,97.00,2170047.00,229673.00,9448409.00
86089.00,631.00,2552.00,19.00,34099.00,49438.00,25.00,8652.00,256.00,200039.00,20105.00,9949855.00
85646.00,24.00,4634.00,0.00,80759.00,253.00,4.00,60.00,3.00,160000000.00,111163.00,1439323776.00
85469.00,0.00,720.00,0.00,77689.00,7060.00,186.00,3008.00,25.00,1996103.00,70255.00,28412157.00
77325.00,371.00,292.00,3.00,73421.00,3612.00,42.00,45008.00,170.00,1599549.00,931029.00,1718045.00
74422.00,3105.00,2122.00,7.00,50500.00,21800.00,54.00,8581.00,245.00,1578103.00,181955.00,8673040.00
65860.00,784.00,1549.00,19.00,46543.00,17768.00,864.00,16338.00,384.00,328482.00,81485.00,4031197.00
62588.00,310.00,520.00,2.00,59624.00,2444.00,252.00,1862.00,15.00,1377915.00,40999.00,33608835.00
61460.00,1465.00,1056.00,10.00,47541.00,12863.00,0.00,20729.00,356.00,340116.00,114715.00,2964867.00
61387.00,1163.00,882.00,5.00,47618.00,12887.00,124.00,6805.00,98.00,1861672.00,206362.00,9021387.00
60982.00,0.00,1116.00,0.00,52194.00,7672.00,7.00,294.00,5.00,567857.00,2736.00,207586422.00
60113.00,1368.00,509.00,8.00,26468.00,33136.00,201.00,8819.00,75.00,1040965.00,152715.00,6816402.00
57901.00,9.00,28.00,0.00,57784.00,89.00,0.00,9874.00,5.00,3290291.00,561127.00,5863720.00
53998.00,221.00,1841.00,14.00,37856.00,14301.00,38.00,1225.00,42.00,0.00,0.00,44077721.00
52596.00,0.00,1150.00,0.00,34427.00,17019.00,149.00,7348.00,161.00,320006.00,44707.00,7157844.00
51020.00,431.00,1103.00,4.00,45288.00,4629.00,24.00,7783.00,168.00,276522.00,42184.00,6555084.00
47845.00,1169.00,699.00,18.00,26062.00,21084.00,0.00,6936.00,101.00,267258.00,38743.00,6898226.00
47427.00,998.00,1841.00,3.00,23364.00,22222.00,29.00,9574.00,372.00,1386279.00,279845.00,4953745.00
47173.00,0.00,310.00,0.00,46527.00,336.00,8.00,1509.00,10.00,503524.00,16109.00,31257786.00
46434.00,334.00,402.00,1.00,39921.00,6111.00,0.00,9043.00,78.00,470987.00,91719.00,5135081.00
43789.00,509.00,621.00,2.00,39800.00,3368.00,0.00,4308.00,61.00,1209802.00,119008.00,10165704.00
43580.00,437.00,813.00,8.00,31648.00,11119.00,0.00,805.00,15.00,607241.00,11223.00,54108215.00
43025.00,1293.00,1085.00,33.00,13134.00,28806.00,171.00,4457.00,112.00,871417.00,90273.00,9653113.00
40073.00,47.00,1485.00,4.00,33516.00,5072.00,93.00,1023.00,38.00,116255.00,2967.00,39177532.00
35719.00,265.00,772.00,2.00,31536.00,3411.00,23.00,4093.00,88.00,1227337.00,140637.00,8726965.00
34790.00,0.00,512.00,0.00,5032.00,29246.00,149.00,2935.00,43.00,282457.00,23827.00,11854438.00
34548.00,1539.00,310.00,28.00,6692.00,27546.00,55.00,3376.00,30.00,1535529.00,150064.00,10232495.00
34441.00,418.00,677.00,0.00,28551.00,5213.00,16.00,5940.00,117.00,4534292.00,782021.00,5798170.00
33488.00,1137.00,799.00,34.00,15477.00,17212.00,0.00,614.00,15.00,478067.00,8769.00,54516036.00
32845.00,621.00,980.00,8.00,24603.00,7262.00,0.00,10030.00,299.00,272139.00,83102.00,3274768.00
31265.00,204.00,912.00,4.00,26542.00,3811.00,38.00,4813.00,140.00,438019.00,67432.00,6495760.00
28505.00,998.00,958.00,14.00,16875.00,10672.00,76.00,4112.00,138.00,602807.00,86949.00,6932907.00
27371.00,9.00,904.00,0.00,25062.00,1405.00,1.00,1070.00,35.00,8190626.00,320129.00,25585431.00
26300.00,2075.00,71.00,0.00,7182.00,19047.00,69.00,4816.00,13.00,594245.00,108828.00,5460419.00
25035.00,47.00,441.00,2.00,23180.00,1414.00,85.00,488.00,9.00,2459426.00,47959.00,51282144.00
24450.00,503.00,490.00,8.00,9989.00,13971.00,81.00,2349.00,47.00,1508460.00,144933.00,10407984.00
23665.00,1131.00,345.00,1.00,19087.00,4233.00,24.00,5775.00,84.00,385072.00,93971.00,4097760.00
22607.00,437.00,821.00,6.00,16949.00,4837.00,15.00,10851.00,394.00,216541.00,103939.00,2083349.00
21441.00,0.00,423.00,0.00,20117.00,901.00,61.00,802.00,16.00,149000.00,5574.00,26732953.00
20275.00,18.00,121.00,1.00,19953.00,201.00,0.00,763.00,5.00,177817.00,6694.00,26563256.00
18758.00,629.00,176.00,6.00,12259.00,6323.00,99.00,577.00,5.00,1839700.00,56631.00,32485681.00
16754.00,0.00,237.00,0.00,16124.00,393.00,15.00,601.00,8.00,75637.00,2712.00,27892304.00
16501.00,289.00,443.00,4.00,9957.00,6101.00,21.00,5736.00,154.00,100405.00,34901.00,2876872.00
16201.00,65.00,278.00,0.00,11863.00,4060.00,5.00,2982.00,51.00,1198048.00,220490.00,5433567.00
15659.00,0.00,346.00,0.00,14899.00,414.00,0.00,845.00,19.00,198402.00,10708.00,18528979.00
15368.00,20.00,317.00,1.00,13704.00,1347.00,6.00,911.00,19.00,194293.00,11518.00,16868556.00
15327.00,887.00,124.00,11.00,7613.00,7590.00,0.00,3844.00,31.00,763603.00,191528.00,3986909.00
15281.00,273.00,228.00,7.00,10569.00,4484.00,20.00,24329.00,363.00,79614.00,126756.00,628089.00
13691.00,0.00,836.00,0.00,6764.00,6091.00,0.00,310.00,19.00,0.00,0.00,44139866.00
13133.00,189.00,351.00,1.00,9100.00,3682.00,6.00,2369.00,63.00,1279191.00,230766.00,5543245.00
12215.00,112.00,131.00,1.00,10360.00,1724.00,5.00,4783.00,51.00,114126.00,44684.00,2554077.00
11517.00,834.00,180.00,4.00,5924.00,5413.00,45.00,5540.00,87.00,278804.00,134103.00,2079022.00
11327.00,72.00,70.00,0.00,10380.00,877.00,24.00,856.00,5.00,38182.00,2885.00,13233282.00
11154.00,41.00,35.00,0.00,9995.00,1124.00,12.00,20531.00,64.00,150743.00,277473.00,543271.00
10935.00,0.00,281.00,0.00,10306.00,348.00,0.00,121.00,3.00,0.00,0.00,90325293.00
10612.00,75.00,73.00,0.00,8262.00,2277.00,0.00,337.00,2.00,164361.00,5217.00,31502088.00
10471.00,227.00,133.00,0.00,8468.00,1870.00,4.00,16650.00,211.00,927726.00,1475152.00,628902.00
10414.00,40.00,80.00,0.00,9393.00,941.00,0.00,1085.00,8.00,0.00,0.00,9598539.00
10334.00,217.00,96.00,0.00,6901.00,3337.00,0.00,224.00,2.00,518558.00,11237.00,46145465.00
10239.00,6.00,69.00,0.00,9955.00,215.00,5.00,34031.00,229.00,71186.00,236601.00,300870.00
8925.00,0.00,231.00,0.00,7182.00,1512.00,0.00,780.00,20.00,29115.00,2544.00,11442684.00
8881.00,12.00,54.00,0.00,8430.00,397.00,3.00,3964.00,24.00,210482.00,93939.00,2240635.00
8132.00,65.00,162.00,2.00,3653.00,4317.00,16.00,2743.00,55.00,87331.00,29455.00,2964944.00
8075.00,,231.00,0.00,7669.00,175.00,0.00,541.00,15.00,162958.00,10918.00,14925201.00
7585.00,0.00,163.00,0.00,7326.00,96.00,3.00,1619.00,35.00,83217.00,17766.00,4684182.00
7526.00,82.00,82.00,3.00,6425.00,1019.00,23.00,13494.00,147.00,87480.00,156849.00,557735.00
7122.00,214.00,96.00,0.00,2199.00,4827.00,35.00,17799.00,240.00,62313.00,155726.00,400144.00
7096.00,0.00,228.00,0.00,3012.00,3856.00,14.00,214.00,7.00,85213.00,2570.00,33152753.00
7041.00,281.00,112.00,2.00,3035.00,3894.00,15.00,2597.00,41.00,876598.00,323359.00,2710912.00
6118.00,56.00,124.00,1.00,5702.00,292.00,5.00,540.00,11.00,728426.00,64323.00,11324581.00
5842.00,6.00,181.00,0.00,4735.00,926.00,4.00,303.00,9.00,56957.00,2956.00,19269693.00
5746.00,13.00,115.00,0.00,5392.00,239.00,19.00,4938.00,99.00,45570.00,39161.00,1163644.00
5449.00,6.00,61.00,0.00,5372.00,16.00,0.00,5492.00,61.00,81778.00,82426.00,992136.00
5385.00,0.00,112.00,0.00,3178.00,2095.00,112.00,13656.00,284.00,25585.00,64882.00,394334.00
5354.00,110.00,13.00,0.00,3385.00,1956.00,0.00,250.00,0.60,357698.00,16684.00,21439494.00
5353.00,0.00,154.00,0.00,4225.00,974.00,0.00,805.00,23.00,0.00,0.00,6647333.00
5241.00,47.00,95.00,2.00,3545.00,1601.00,14.00,3741.00,68.00,33013.00,23567.00,1400815.00
5221.00,7.00,105.00,0.00,4951.00,165.00,12.00,695.00,14.00,3473928.00,462287.00,7514659.00
5156.00,0.00,92.00,0.00,3887.00,1177.00,0.00,928.00,17.00,0.00,0.00,5556560.00
5094.00,0.00,109.00,0.00,4907.00,78.00,3.00,8661.00,185.00,16432.00,27938.00,588158.00
5068.00,0.00,83.00,0.00,4954.00,31.00,1.00,3579.00,59.00,63108.00,44572.00,1415863.00
4987.00,56.00,241.00,3.00,1456.00,3290.00,0.00,283.00,14.00,0.00,0.00,17621145.00
4965.00,12.00,34.00,1.00,4664.00,267.00,0.00,381.00,3.00,530304.00,40658.00,13043139.00
4855.00,0.00,62.00,0.00,1924.00,2869.00,2.00,1000.00,13.00,32711.00,6739.00,4853831.00
4776.00,98.00,17.00,0.00,4445.00,314.00,17.00,5323.00,19.00,35419.00,39478.00,897172.00
4289.00,4.00,32.00,0.00,3947.00,310.00,4.00,40122.00,299.00,35927.00,336084.00,106899.00
4282.00,122.00,45.00,0.00,3142.00,1095.00,6.00,9690.00,102.00,292476.00,661880.00,441887.00
4030.00,0.00,43.00,0.00,2964.00,1023.00,4.00,14672.00,157.00,13000.00,47328.00,274681.00
4017.00,37.00,68.00,0.00,3137.00,812.00,1.00,3028.00,51.00,240117.00,180975.00,1326797.00
3929.00,92.00,11.00,1.00,2713.00,1205.00,4.00,11492.00,32.00,321512.00,940402.00,341888.00
3914.00,0.00,20.00,0.00,905.00,2989.00,1.00,1655.00,8.00,238334.00,100768.00,2365173.00
3864.00,0.00,99.00,0.00,3089.00,676.00,0.00,241.00,6.00,0.00,0.00,16018143.00
3672.00,52.00,107.00,0.00,2590.00,975.00,13.00,4662.00,136.00,16561.00,21026.00,787660.00
3669.00,4.00,59.00,0.00,3467.00,143.00,1.00,53.00,0.80,977854.00,13999.00,69851298.00
3644.00,0.00,118.00,0.00,2646.00,880.00,0.00,1496.00,48.00,18043.00,7407.00,2435789.00
3573.00,0.00,13.00,0.00,2487.00,1073.00,8.00,12698.00,46.00,26355.00,93663.00,281382.00
3377.00,187.00,59.00,0.00,2057.00,1261.00,22.00,43686.00,763.00,137457.00,1778205.00,77301.00
3368.00,0.00,132.00,0.00,2559.00,677.00,0.00,165.00,6.00,63548.00,3113.00,20414913.00
3204.00,148.00,42.00,1.00,1329.00,1833.00,9.00,1704.00,22.00,382949.00,203699.00,1879975.00
2817.00,10.00,55.00,0.00,1290.00,1472.00,0.00,251.00,5.00,12044.00,1072.00,11231664.00
2682.00,63.00,41.00,1.00,1612.00,1029.00,5.00,6710.00,103.00,18518.00,46330.00,399694.00
